candidate,gender,constituency,seats,party
Donnchadh O' Laoghaire,Male,Cork South-Central ,4,Sinn Fein
Paddy  O'Leary,Male,Cork North-Central,4,Renua
Fiona  O'Leary,Female,Cork South-West,3,Independent
Julie O'Leary,Female,Cork North-Central,4,Fine Gael
Peter O'Loughlin,Male,Cork North-Central,4,Independent
Fiona  O'Loughlin,Female,Kildare South,3,Fianna Fail
Johnny O'Mahony,Male,Cork South-West,3,Green Party
John  O'Mahony,Male,Galway West,5,Fine Gael
George O'Malley,Male,Mayo,4,Independent
Naoise O Muiri,Male,Dublin Bay North,5,Fine Gael
Damien O'Neill,Male,Dublin Bay North,5,Independent
Ruairi O'Neill,Male,Galway West,5,Direct Democracy Ireland
Aisling  O'Neill ,Female,Meath East,3,Social Democrats
Louise  O'Reilly,Female,Dublin Fingal,5,Sinn Fein
Joe  O'Reilly,Male,Cavan-Monaghan,4,Fine Gael
Aodhan  O' Riordan ,Male,Dublin Bay North,5,Labour Party
Steven  O'Riordan,Male,Cork North-West,3,Independent
Darren O'Rourke,Male,Meath East,3,Sinn Fein
Paddy O'Rourke,Male,Sligo-Leitrim,4,Fianna Fail
Frank O'Rourke,Male,Kildare North,4,Fianna Fail
John Paul O'Shea,Male,Cork North-West,3,Independent
Aengus O Snodaigh,Male,Dublin South-Central,4,Sinn Fein
Grace O'Sullivan,Female,Waterford,4,Green Party
Maureen  O'Sullivan,Female,Dublin Central,3,Independent
Jerry O'Sullivan,Male,Cork North-West,3,Independent
Elizabeth  O'Sullivan,Female,Kildare North,4,Independent
Jan  O'Sullivan,Female,Limerick City,4,Labour Party
Niall O Tuathail,Male,Galway West,5,Social Democrats
Dom  Parker,Male,Longford-Westmeath,4,Anti Austerity Alliance
Willie Penrose,Male,Longford-Westmeath,4,Labour Party
John Perry,Male,Sligo-Leitrim,4,Fine Gael
Cieran Perry,Male,Dublin Central,3,Independent
Ann Phelan,Female,Carlow-Kilkenny,5,Labour Party
John Paul  Phelan,Male,Carlow-Kilkenny,5,Fine Gael
Gillian Powell,Female,Cork South-West,3,Independent
Averil Power,Female,Dublin Bay North,5,Independent
Mailo Power,Female,Waterford,4,Renua
Cian  Prendiville,Male,Limerick City,4,People Before Profit Alliance
Thomas Pringle,Male,Donegal,5,Independent
Kieran Adam Quigley,Male,Dublin South-West,5,Independent
Edward Quilty,Male,Waterford,4,Direct Democracy Ireland
Maurice  Quinlivan,Male,Limerick City,4,Sinn Fein
Anne  Rabbitte ,Female,Galway East,3,Fianna Fail
Stephanie Bernadette Regan,Female,Dublin Bay North,5,Fine Gael
James  Reilly,Male,Dublin Fingal,5,Fine Gael
Kathryn  Reilly ,Female,Cavan-Monaghan,4,Sinn Fein
Gerry Reynolds,Male,Sligo-Leitrim,4,Fine Gael
Michael Ring,Male,Mayo,4,Fine Gael
Denis Riordan,Male,Limerick City,4,Independent
Annemarie  Roche,Female,Galway East,3,Sinn Fein
Noel Rock,Male,Dublin North-West,3,Fine Gael
Tommy Roddy,Male,Galway West,5,Independent
Shane Ross,Male,Dublin Rathdown,3,Independent
Patricia  Ryan,Female,Kildare South,3,Sinn Fein
Ailis Ryan,Female,Dublin Central,3,The Workers' Party
Eamon Ryan,Male,Dublin Bay South,4,Green Party
Brendan Ryan,Male,Dublin Fingal,5,Labour Party
Fiona Ryan,Female,Cork South-Central ,4,People Before Profit Alliance
